B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
1837,1020,492,773,622,1184,2328,2681,2885,3005,1005.7425,-16.33937246,-10.28148696,-8.731255495,-2.125717804,4.5424805
1831.5,947,398.5,654,546.5,1028,2611,3073.5,3483,3306,734.1318,-16.03823595,-15.61203702,-10.01908188,-8.431759594,15.034058
2378,1438.5,566,831,785.5,1239.5,2238,2635.5,2663.5,2817,554.70605,-19.39205551,-14.00688364,-13.53410134,-8.087716596,32.833008
2132,1155,419,713,493,1110,2634,3067,3174,3273,2334.2925,-12.94858484,-18.34654332,-5.132399346,-10.57945094,11.067139
1764,938.5,371,545,460,804.5,2281,2988.5,3068.5,3242.5,514.3407,-13.62734455,-15.26290002,-8.169928697,-10.67254622,19.914185
2250,1338,426,726,617,1196,2783,3266,3382,3549,2416.3728,-17.60072996,-14.02876098,-11.52776574,-7.850537903,5.474365
2446.5,1543,693,966.5,827,1330,2434,2863.5,2987.5,2993,501.5489,-17.65337503,-16.17507601,-12.32297049,-10.82383091,9.452942
2082,1085,412,672,490,1068,2520,3015,3047,3105,2505.894,-13.57107418,-16.85936768,-7.396932482,-11.02166334,7.231201
2453,1316,472,750,565,1223,2958,3438,3567,3724,2256.071,-14.30961194,-17.12092783,-7.83210834,-11.42667094,12.260742
2038,1122,391,637,407,952,2572,3062,3083,3400,511.7588,-12.79821871,-13.22755372,-5.887008513,-6.038644141,10.369507
2106,1203.5,362.5,640.5,502,1077,2426,2791,2850.5,3038,1564.1879,-15.88320475,-15.61411106,-9.932881864,-9.596264812,10.924561
2236,1086,331,610,411,1040,2971,3592,3714,3887,2417.3765,-15.19524075,-15.47447366,-9.085227835,-9.44585273,9.4609375
2521,1345,462,777,597,1270,3255,3740,3942,4044,2383.2073,-15.81706583,-16.13705088,-9.028112634,-9.874450442,10.277344
2137,1029,376,669,409,1069,3065,3595,3634,3782,2334.2085,-13.76084468,-16.45236625,-8.584883803,-10.89146979,6.5021973
2192,1072,343,638,368,1092,2988,3563,3669,3835,2335.2695,-17.04362658,-14.60597831,-11.375712,-8.490863702,7.241455
2447,1147,406,725,404,1256,3479,4168,4303,4428,2289.3074,-16.71047487,-16.08065633,-10.47821886,-9.036575014,9.339844
2386,1084,404,667,414,1114,3386,4172,4256,4439,2229.4622,-18.81303351,-14.65821913,-12.59182879,-8.877326502,15.085205
2414,1087,401,661,385,1111,3619,4378,4514,4659,2242.9187,-14.40775168,-16.56520344,-7.844313154,-10.10116337,11.544922
