B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
2094,1232.5,452.5,718.5,632.5,1132,2507,3078,3118.5,3278,741.5309,-16.31042908,-15.51063188,-8.977370812,-8.660366052,15.034058
2237.5,1309,453.5,672,603.5,1043.5,2458,3043,3125,3276.5,540.553,-15.86725253,-15.38204421,-9.597183533,-8.954369454,26.3735965
2111,1240.5,616.5,879,651,1147,2409,2882.5,2967,3059.5,530.09283,-17.67261957,-17.16881827,-11.36430334,-10.91793179,9.452942
2740,1678,640,948,865,1452,2837,3301,3465,3557,2451.8984,-11.38421606,-17.81396704,-3.713221265,-11.32348206,7.231201
2689,1435,521,820,627,1340,3089,3673,3837,3993,2215.372,-9.057860165,-18.69952255,-2.527124614,-12.63542586,12.260742
2124,1251,473,697,516,981,2451,2918,2998,3156,518.86237,-13.33227879,-12.86236915,-6.641933493,-6.739785852,10.369507
2311.5,1267.5,372,685,470.5,1165.5,2981,3521.5,3578.5,3785.5,1528.1733,-17.90284712,-12.10021598,-11.81019897,-5.993604077,10.924561
2088,1109.5,540,851,700.5,1287.5,2818,3454,3551,3666.5,383.44675,-13.68654067,-17.78597848,-6.638702728,-11.08570691,16.316711
2820,1860,733,1056,1168,1592,2779,3117,3215,3334,2450.083,-18.25811094,-16.62730752,-11.80638193,-8.933430144,9.4609375
2316,1171,406,679,478,1129,3100,3631,3749,3876,2394.6704,-15.52626842,-15.06281915,-9.549590772,-8.760742381,10.25179043
2354,1220,396,702,481,1178,3014,3566,3659,3797,2356.6833,-17.9098559,-10.3389506,-11.81330719,-2.843157957,7.241455
2396,1155,393,676,431,1144,3223,3843,3977,4086,2318.8086,-17.32564196,-13.58011835,-11.39015082,-7.026593426,12.2125245
1926,948,412,636,396,972,2682,3294,3386,3552,487.09995,-14.97416671,-13.23278686,-8.706385825,-6.195623819,24.48938
2426,1281,473,776,543,1288,3340,3933,4055,4158,2252.3386,-14.98663419,-16.12166683,-8.860939547,-10.05206907,11.993286
2333,1177,354,669,409,1133,3013,3603,3714,3851,2236.7148,-15.32559546,-13.5274447,-9.13241187,-6.9099514,6.54089355
2503.5,1510,513,781.5,708.5,1267,2741,3343.5,3451,3624,560.0732,-15.72569955,-16.8286953,-9.141879501,-10.4211404,25.114822
