B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
2498,1643,560,830,745,1259,2445,2897,2982,3151,1010.5589,-18.23465147,-9.471459912,-10.33986415,-1.146410488,4.5424805
2380,1613,540,773,759,1208,2340,2770,2852,3017,1022.92694,-15.34298335,-17.84698961,-7.307810773,-11.49541767,10.217834
2273.5,1358.5,435.5,715.5,584,1119,2615,3215.5,3286.5,3449.5,736.0992,-15.55205556,-14.97662627,-9.499895862,-9.286053854,15.034058
2187.5,1188.5,378,567.5,454.5,890.5,2406.5,3018,3085,3247,552.64417,-17.23597329,-14.76308122,-11.23903931,-8.151065105,32.833008
2109,1189,435,658,560,1011.5,2498,3113.5,3199,3351,520.82196,-14.78859464,-14.83355102,-8.778354257,-9.001674088,19.914185
2673,1729,723,1054,1058,1566,2770,3155,3218,3345,2336.6697,-13.11451052,-16.77021321,-5.649623194,-9.16012203,11.067139
2412,1441.5,645.5,909,781,1283,2637.5,3142.5,3224.5,3329.5,507.66675,-17.4589506,-16.69156002,-11.55860896,-10.466068,9.452942
2637,1750,615,911,946,1439,2500,2870,2978,3104,2506.6064,-15.82918348,-14.9575336,-9.234691057,-7.948958489,7.231201
2650,1406,506,803,612,1327,3058,3622,3773,3937,2254.1655,-11.7727084,-17.36104455,-4.270309426,-11.36420498,12.260742
2045,1136,423,670,454,977,2565,3027,3144,3290,519.7968,-13.6381179,-13.40097052,-7.01333061,-7.007684719,10.369507
2239,1311,381,679.5,506.5,1144.5,2661.5,3098.5,3153.5,3352.5,1561.0336,-16.72586075,-13.80511179,-10.84928042,-7.453527969,10.924561
1983,1188.5,697,1059,1084,1566.5,2402,2791,2873.5,2938,356.3805,-15.00685469,-17.70153729,-8.390602646,-11.38941256,16.316711
2275,1178,392,680,493,1140,2956,3527,3629,3780,2418.3655,-15.56327689,-15.28280793,-9.228777481,-8.93111585,9.4609375
2470,1324,473,772,612,1256,3178,3672,3786,3939,2382.8274,-15.22555308,-16.54758651,-8.997480702,-9.909914065,10.277344
2254,1143,412,695,484,1143,3115,3563,3669,3820,2344.038,-14.42205952,-16.90442795,-8.665977818,-10.48283116,6.5021973
2421,1200,394,679,440,1152,3128,3657,3805,3906,2353.5903,-17.51757519,-13.99936641,-11.67267112,-7.507476855,7.241455
2527,1208,412,745,430,1276,3508,4116,4245,4391,2303.9885,-18.07287669,-13.981384,-11.79707635,-7.572035403,9.339844
2495,1176,412,712,433,1195,3435,4181,4308,4423,2247.6948,-18.89711557,-13.24977763,-12.64105527,-7.331563532,15.085205
1912,989,395,601,353,943,2711,3304,3449,3547,506.37573,-13.2995171,-15.5213833,-6.31669938,-8.852844581,24.48938
2474,1135,424,694,414,1161,3555,4292,4376,4555,2243.4749,-14.00014367,-16.61762214,-7.801686904,-10.42947498,11.544922
2471,1113,410,669,388,1123,3607,4436,4573,4706,2194.7268,-13.57810763,-16.9457849,-6.875404261,-10.55919997,12.44165
2297,1176,349,647,404,1103,2955,3467,3612,3722,2277.1704,-15.48573827,-14.27445016,-9.192655434,-7.575152852,6.3828125
2147,1053,349,607,372,1029,2948,3566,3703,3755,2301.3254,-15.92046047,-15.05775112,-9.374710443,-8.829641956,6.6989746
2253.5,1166.5,410,671.5,525,1107,2907.5,3647,3758,3927.5,568.8531,-15.42199647,-17.30398963,-8.897732263,-10.43618955,20.671722
2088,947,346,559,340,918,2897,3514,3692,3761,2280.9194,-13.67134871,-16.01306976,-7.754500415,-9.585508424,19.94873
2253,1094,364,635,414,1088,3152,3757,3865,4014,2223.3618,-14.92586318,-15.67024695,-8.889980481,-9.473750364,18.587158
2052.5,960.5,292,532.5,305,873,2913.5,3730.5,3837.5,4004,518.32495,-14.18707511,-16.82093064,-7.603327348,-10.28234868,29.557922
2203,1007,372,560,357,939,3006,3639,3780,3886,2222.536,-14.47116224,-15.30599352,-8.217109207,-9.01619786,19.489258
2293,1089,359,626,405,1085,3101,3712,3808,3953,2183.6182,-14.55818668,-15.80234303,-8.403525225,-9.86986786,18.867676
2245,988,366,564,336,942,3130,3824,3934,4065,2174.075,-14.32165831,-15.77573181,-8.479623972,-9.332418431,16.12378
2266,1067,343,586,367,1025,2944,3476,3556,3711,2152.559,-12.97054802,-16.5806585,-6.554304028,-10.44280363,19.413086
2229,1032,344,606,356,1052,3034,3603,3680,3824,2130.8438,-11.75781356,-17.18828987,-5.714610133,-10.8700918,20.614746
1816.5,877,388.5,619.5,354.5,869.5,2625.5,3235,3317.5,3467.5,233.15396,-15.26186043,-13.74416322,-8.791331796,-7.12029818,29.605621
1808.5,862.5,383,614,348,861.5,2544.5,3170.5,3243.5,3412.5,214.33527,-14.27566212,-14.96180495,-7.627510229,-7.939754956,22.365265
1789,854,383.5,616,348,857.5,2528,3145,3227,3388,207.23936,-13.98021787,-14.94037627,-7.882384406,-8.047856663,24.160492
1825,865,382,605,345,843,2536,3107,3179,3354,198.51991,-13.89671304,-14.52897277,-7.721322315,-7.817641371,18.546753
1819,846,386,609,346,835,2594,3229,3309,3488,192.96013,-13.76135424,-14.92118984,-6.973938452,-8.343271335,19.934067
1831,846,393,627,345,863,2693,3355,3442,3594,190.77281,-13.65652266,-15.34909777,-6.477879874,-8.294972133,21.140747
1796,832,379,616,341,836,2597,3279,3363,3498,190.07149,-13.18316872,-15.33608121,-6.266915686,-8.390381241,25.999466
