B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,Elevation,VH_Asc,VH_Desc,VV_Asc,VV_Desc,h_canopy
2187,1476,682,970.5,896,1380,2417,2804,2842,2987,17.352541,-16.50744592,-15.93311198,-9.109923587,-7.71832197,10.454616
2569.5,1212,352,742.5,366.5,1279.5,3835,4485.5,4530,4733.5,1527.6824,-11.3154225,-16.75219214,-4.763969443,-10.82622398,7.7323
1924.5,897.5,366,563,347,867.5,2827.5,3586,3666,3881.5,277.1649,-13.68071873,-15.31262716,-7.311947551,-9.069108718,17.625214
2681.5,1969.5,678.5,1041.5,1022,1585.5,2589,2921,2958,3156,1387.6241,-15.55300812,-11.65843183,-10.44764626,-4.053835609,14.890137
2419,1138.5,349.5,734,358,1237,3731.5,4451.5,4481.5,4732.5,1469.9408,-12.96628174,-16.49134202,-6.131691405,-10.23773381,9.16394
2115.5,1149,471,693,534.5,1069,2799,3288.5,3392,3549,250.50392,-14.96183706,-15.24254332,-8.057394536,-8.631252847,8.77652
2322,1411.5,547.5,884,718,1388.5,3180,3589.5,3567.5,3749.5,1280.8058,-14.30426096,-14.58864585,-4.461421625,-8.39368448,10.951538
2061.5,1171,586,857,688,1200,2695,3153,3200,3408.5,26.090803,-14.4493774,-15.44762111,-7.773164862,-7.747113899,20.2343305
2467,1234.5,332,664,395.5,1144,3102.5,3726.5,3781,4025.5,1629.8099,-16.91061173,-13.61413188,-11.3111152,-7.529012723,7.6115723
2355.5,1469.5,577,843.5,750,1309,2650,3099,3194,3328,163.1646,-15.36308859,-16.51800904,-7.902017759,-9.883768507,12.476242
2134.5,965,299.5,497,303,850,2978,3845,3973.5,4137.5,617.0572,-13.68059089,-14.94880134,-7.229279318,-8.733879633,25.745605
1841.5,862.5,459,700,471,1020,2716.5,3258,3361.5,3488.5,17.209574,-13.53978027,-14.73482706,-7.063365738,-8.045762858,24.6238595
1813.5,830,426.5,663,418.5,958.5,2763.5,3348.5,3439,3671,16.847185,-13.62816234,-14.2730273,-7.393485402,-7.693315828,20.732397
2335,1710,776.5,1076,1074.5,1500.5,2390.5,2783,2838.5,2934,8.98933,-16.03841342,-16.32204992,-8.354963419,-9.251662666,8.1486745
2609,2128.5,794.5,1051,1094.5,1481,2333.5,2616,2660.5,2792.5,82.70902,-15.09630574,-14.04482757,-3.048585725,-5.900174594,8.097328
